n1,n2,n3,n4,media,status
7.862,9.887,0.757,7.057,6.391,1
9.972,5.977,3.583,0.261,4.948,0
5.053,9.071,6.783,6.662,6.892,1
4.373,1.287,3.298,2.661,2.905,0
9.410,7.949,7.738,9.159,8.564,1
2.195,2.955,1.727,1.379,2.064,0
8.755,6.559,4.567,0.003,4.971,0
8.144,7.137,1.856,4.259,5.349,0
9.702,8.432,0.938,8.062,6.784,1
8.449,1.225,6.994,5.789,5.614,0
0.984,1.122,3.965,7.765,3.459,0
9.641,6.819,6.878,2.327,6.416,1
1.669,2.396,2.227,4.030,2.580,0
0.547,0.332,3.836,3.258,1.993,0
1.356,9.121,0.953,6.823,4.563,0
9.906,3.061,0.468,4.578,4.503,0
2.661,3.607,2.586,6.770,3.906,0
5.241,3.995,2.666,7.121,4.756,0
1.834,9.103,4.943,3.871,4.938,0
4.757,5.131,0.194,3.380,3.365,0
9.492,2.940,9.263,6.492,7.047,1
4.905,8.821,1.095,3.100,4.480,0
2.273,6.686,7.546,3.341,4.961,0
6.000,1.693,5.890,6.099,4.921,0
2.668,7.899,4.316,3.588,4.618,0
1.579,0.724,3.378,7.437,3.280,0
6.005,8.153,2.015,4.929,5.276,0
6.850,8.626,4.015,4.791,6.071,1
8.125,0.327,2.812,1.464,3.182,0
1.078,3.324,5.768,9.234,4.851,0
2.658,1.428,2.680,1.738,2.126,0
6.180,7.517,3.467,2.425,4.897,0
8.110,8.140,3.118,5.997,6.341,1
4.490,6.597,2.476,2.507,4.018,0
2.578,6.058,3.917,6.077,4.657,0
4.863,0.682,6.348,0.009,2.976,0
8.049,8.240,1.638,1.108,4.759,0
4.042,5.049,3.677,8.835,5.401,0
2.724,4.718,2.447,4.682,3.643,0
4.688,5.431,3.199,2.969,4.072,0
1.137,6.026,1.050,6.731,3.736,0
4.054,7.031,1.243,8.775,5.276,0
6.017,7.929,4.235,7.965,6.537,1
1.104,3.071,9.567,8.079,5.455,0
4.443,1.866,5.977,9.174,5.365,0
6.508,7.731,4.367,2.773,5.345,0
6.884,7.556,0.681,0.146,3.817,0
7.198,6.525,6.352,6.719,6.699,1
1.736,6.029,5.114,8.793,5.418,0
9.517,3.667,8.345,7.541,7.268,1
0.913,2.868,0.985,1.008,1.444,0
5.885,8.751,7.186,8.573,7.599,1
1.700,3.437,4.883,2.112,3.033,0
9.688,4.805,5.545,4.767,6.201,1
9.466,1.147,2.242,8.238,5.273,0
3.274,6.285,8.679,9.968,7.051,1
3.391,7.283,2.915,3.177,4.191,0
3.703,2.044,7.772,3.726,4.311,0
7.273,9.655,9.088,0.812,6.707,1
9.608,0.533,0.019,5.836,3.999,0
0.722,0.209,1.377,8.227,2.634,0
0.200,1.263,3.306,4.876,2.411,0
2.821,5.567,0.770,1.858,2.754,0
0.743,1.304,3.255,6.894,3.049,0
6.318,8.076,8.868,5.358,7.155,1
4.549,4.472,2.003,2.389,3.353,0
1.344,3.206,1.462,7.205,3.304,0
5.209,1.956,9.448,7.441,6.014,1
4.181,2.122,7.601,6.666,5.143,0
8.289,6.543,4.368,8.274,6.868,1
4.459,9.234,5.182,6.069,6.236,1
1.301,0.514,1.415,8.830,3.015,0
5.015,3.367,8.791,8.614,6.447,1
7.399,7.015,5.117,2.286,5.454,0
1.214,5.696,7.746,6.330,5.247,0
8.457,3.798,1.916,0.065,3.559,0
1.929,2.671,3.230,1.875,2.426,0
3.201,8.295,2.889,9.421,5.951,0
0.001,0.459,8.521,2.696,2.919,0
4.247,1.769,7.768,8.488,5.568,0
4.674,4.740,5.802,7.401,5.654,0
8.562,9.051,3.280,8.109,7.251,1
1.943,0.879,3.747,2.937,2.377,0
0.488,4.450,7.619,4.263,4.205,0
0.244,9.825,3.084,8.077,5.308,0
9.063,9.483,8.239,0.408,6.798,1
3.356,4.885,1.864,1.535,2.910,0
9.331,2.665,3.533,5.761,5.323,0
5.328,2.550,2.217,1.076,2.793,0
6.033,2.493,2.226,6.442,4.298,0
0.769,4.470,4.571,4.812,3.656,0
7.692,4.777,7.751,3.031,5.813,0
6.158,8.093,6.544,2.941,5.934,0
2.956,6.674,2.667,9.943,5.560,0
3.499,5.875,6.574,8.279,6.057,1
5.576,2.740,3.525,5.272,4.278,0
9.152,1.933,2.456,0.741,3.570,0
4.273,1.418,1.180,5.648,3.130,0
2.664,5.501,6.123,9.282,5.892,0
4.820,2.923,8.804,5.005,5.388,0
5.628,7.581,8.584,8.465,7.565,1
5.338,1.185,0.927,8.714,4.041,0
2.464,7.878,5.421,5.460,5.306,0
6.489,5.409,4.743,3.925,5.142,0
8.309,4.956,6.313,1.337,5.228,0
5.162,4.057,7.919,4.460,5.400,0
5.913,8.198,6.026,9.095,7.308,1
7.576,1.839,9.530,3.505,5.612,0
2.752,4.859,8.925,5.329,5.466,0
1.286,7.068,3.344,6.734,4.608,0
7.519,6.358,5.454,0.218,4.887,0
1.560,4.597,2.538,4.634,3.332,0
7.320,8.163,6.381,8.214,7.519,1
8.608,0.718,2.465,6.289,4.520,0
6.194,3.874,7.276,7.067,6.103,1
9.218,8.960,1.278,5.895,6.338,1
0.362,8.932,5.449,0.336,3.770,0
3.888,8.456,4.858,1.791,4.748,0
8.363,6.167,2.830,4.288,5.412,0
9.726,2.521,1.222,6.491,4.990,0
5.573,1.247,8.114,3.323,4.564,0
1.369,3.132,2.016,7.792,3.577,0
7.933,8.102,7.116,4.835,6.996,1
4.141,0.212,0.375,0.734,1.366,0
5.991,4.244,2.469,4.478,4.296,0
2.476,8.649,5.232,5.677,5.508,0
9.258,0.659,9.819,9.997,7.433,1
2.623,3.868,1.008,3.669,2.792,0
5.151,6.361,2.866,0.020,3.599,0
3.483,9.781,4.454,8.505,6.556,1
9.795,0.288,4.746,3.487,4.579,0
9.293,0.254,5.828,3.412,4.697,0
1.426,5.161,2.721,1.933,2.810,0
3.584,6.221,1.992,7.746,4.886,0
9.467,9.673,1.888,9.400,7.607,1
2.930,9.827,4.674,5.672,5.776,0
4.533,3.849,8.414,8.159,6.239,1
6.006,9.782,5.933,3.414,6.284,1
0.376,1.781,5.807,8.405,4.092,0
1.385,5.324,9.656,8.961,6.331,1
0.582,6.230,2.396,4.993,3.550,0
2.479,1.710,1.677,0.496,1.590,0
9.296,5.128,5.743,6.999,6.791,1
1.230,5.066,8.845,5.405,5.136,0
6.331,3.651,0.612,8.521,4.779,0
0.863,2.627,1.612,5.267,2.592,0
1.522,0.513,2.840,8.301,3.294,0
8.813,3.251,8.708,6.871,6.911,1
1.301,2.857,3.027,3.799,2.746,0
3.960,8.714,0.724,0.053,3.363,0
4.599,1.305,6.552,2.109,3.641,0
2.670,9.328,2.580,8.161,5.685,0
1.791,3.084,7.869,7.994,5.185,0
0.066,0.096,6.327,0.752,1.810,0
4.086,8.948,7.923,2.800,5.939,0
2.060,0.239,8.688,8.484,4.868,0
3.882,6.600,5.133,6.636,5.563,0
2.597,7.771,4.609,2.010,4.247,0
3.565,7.913,9.009,0.339,5.206,0
2.749,2.799,6.618,2.665,3.708,0
9.454,3.208,3.261,9.323,6.312,1
4.089,9.276,2.477,1.466,4.327,0
7.556,6.162,2.718,0.502,4.234,0
5.226,1.836,0.321,7.068,3.613,0
7.273,2.371,6.046,4.149,4.960,0
8.251,4.849,8.847,5.025,6.743,1
8.806,4.765,7.823,2.896,6.073,1
3.932,5.861,5.167,2.400,4.340,0
5.336,1.423,0.735,4.080,2.893,0
6.614,8.948,9.987,8.117,8.417,1
2.605,0.247,4.084,8.607,3.886,0
6.485,4.832,2.074,0.949,3.585,0
7.448,0.663,8.475,7.557,6.036,1
2.448,4.426,5.369,2.092,3.584,0
1.214,5.730,8.697,8.381,6.006,1
1.568,9.960,5.212,4.123,5.216,0
1.725,6.564,4.491,1.810,3.648,0
0.266,3.937,8.214,4.026,4.111,0
4.706,9.800,8.759,0.277,5.885,0
6.073,8.422,9.385,1.025,6.226,1
9.088,3.728,8.433,6.675,6.981,1
0.376,2.995,0.822,8.527,3.180,0
9.910,8.207,8.109,5.413,7.910,1
9.472,1.464,1.247,5.100,4.321,0
3.703,6.638,4.693,4.917,4.988,0
2.153,6.762,4.565,0.288,3.442,0
6.261,5.395,5.012,4.328,5.249,0
0.194,3.732,1.810,7.277,3.253,0
7.183,2.006,0.171,1.823,2.796,0
1.321,2.335,5.290,7.590,4.134,0
5.911,9.932,2.401,0.313,4.639,0
2.882,0.603,2.231,8.662,3.594,0
6.446,6.880,5.191,0.812,4.832,0
5.212,7.439,5.228,8.321,6.550,1
1.527,9.969,6.707,5.160,5.841,0
2.043,2.984,7.072,2.050,3.537,0
9.536,8.139,3.391,8.730,7.449,1
9.144,7.944,0.392,7.194,6.169,1
6.531,0.144,1.097,3.555,2.832,0
7.636,2.117,5.774,4.938,5.116,0
8.345,3.260,8.940,8.034,7.145,1
2.065,1.386,0.416,9.015,3.220,0
3.645,1.496,0.899,7.930,3.493,0
5.021,7.915,1.815,1.394,4.036,0
8.232,4.420,0.198,9.985,5.709,0
5.563,3.000,4.374,3.168,4.026,0
8.658,0.814,1.686,4.474,3.908,0
4.405,7.458,2.400,4.891,4.789,0
0.277,8.915,1.241,6.302,4.184,0
9.037,5.916,3.988,8.350,6.823,1
6.770,5.089,8.891,9.990,7.685,1
3.888,6.292,0.997,1.003,3.045,0
1.865,7.700,4.616,2.790,4.243,0
2.691,4.867,5.902,5.469,4.732,0
5.889,8.719,1.810,5.670,5.522,0
7.214,6.740,5.065,4.927,5.986,0
1.936,0.336,3.785,8.888,3.736,0
0.137,0.441,8.254,7.774,4.152,0
9.869,2.886,2.497,3.160,4.603,0
8.877,5.482,9.086,7.918,7.841,1
3.147,3.187,9.602,4.681,5.154,0
6.027,6.367,4.248,2.331,4.743,0
8.075,5.788,1.734,6.784,5.595,0
2.153,3.388,8.443,8.755,5.685,0
0.838,9.778,1.694,5.991,4.575,0
0.305,6.345,4.901,8.669,5.055,0
2.743,6.982,4.650,6.560,5.234,0
1.565,8.999,6.032,7.152,5.937,0
5.923,1.060,6.159,3.636,4.195,0
4.006,9.522,8.048,9.858,7.859,1
5.296,9.321,8.765,1.339,6.180,1
6.924,7.472,9.677,3.959,7.008,1
0.647,6.257,7.522,8.892,5.829,0
9.683,9.512,1.893,8.850,7.485,1
6.583,7.892,1.203,6.643,5.580,0
2.363,5.705,0.923,9.394,4.596,0
7.827,9.629,7.977,6.048,7.870,1
7.803,3.154,5.846,3.335,5.034,0
2.110,9.715,0.672,9.496,5.498,0
4.297,6.131,7.287,6.687,6.100,1
8.773,1.571,7.580,2.440,5.091,0
0.189,4.325,2.529,2.420,2.366,0
5.483,7.501,4.433,0.636,4.514,0
6.382,0.368,0.146,5.882,3.194,0
4.629,1.904,0.197,1.802,2.133,0
7.998,2.523,1.401,7.255,4.794,0
9.214,6.322,2.914,4.404,5.713,0
6.395,7.084,1.429,5.095,5.001,0
5.832,5.965,0.524,0.430,3.188,0
6.457,0.238,1.612,3.692,3.000,0
3.249,6.728,6.224,9.527,6.432,1
3.532,8.000,2.214,2.462,4.052,0
9.914,4.583,7.741,6.228,7.116,1
9.216,5.916,4.346,0.879,5.089,0
5.452,7.350,5.431,3.800,5.508,0
5.993,9.482,1.092,2.103,4.667,0
2.203,8.784,4.841,1.458,4.322,0
9.483,1.309,0.286,1.019,3.024,0
4.133,3.839,3.941,4.304,4.054,0
3.120,4.730,1.065,2.592,2.877,0
5.266,1.439,2.768,4.010,3.371,0
3.601,8.121,4.964,6.779,5.866,0
3.315,9.185,6.206,6.938,6.411,1
8.297,9.310,5.895,5.982,7.371,1
8.481,9.154,9.074,2.152,7.215,1
6.170,3.522,1.743,6.995,4.607,0
7.461,1.368,1.931,6.496,4.314,0
6.993,3.984,5.924,9.506,6.602,1
2.851,9.334,3.866,5.349,5.350,0
1.028,8.442,1.240,0.593,2.826,0
6.912,4.663,2.985,8.001,5.640,0
7.912,4.993,8.772,3.694,6.343,1
8.743,2.277,5.338,1.252,4.403,0
9.733,8.282,0.457,2.867,5.335,0
4.413,8.308,0.527,7.903,5.288,0
0.558,2.336,5.357,1.121,2.343,0
6.995,2.382,7.751,8.631,6.440,1
6.333,9.494,2.259,6.343,6.107,1
1.195,0.336,8.142,1.234,2.727,0
9.811,9.631,0.430,9.647,7.380,1
9.569,3.111,6.498,3.897,5.769,0
0.056,5.187,8.687,1.817,3.937,0
1.441,8.873,5.219,0.282,3.954,0
0.861,7.573,7.326,1.244,4.251,0
6.246,6.152,8.839,7.890,7.282,1
4.894,5.506,3.688,3.850,4.484,0
9.342,5.104,0.975,7.882,5.826,0
5.499,1.640,7.146,3.395,4.420,0
6.252,6.769,1.707,4.044,4.693,0
5.230,9.822,9.354,0.355,6.190,1
1.463,2.001,2.605,6.579,3.162,0
3.901,2.896,0.530,8.424,3.938,0
5.823,0.887,1.740,3.876,3.082,0
8.679,7.575,1.707,3.706,5.417,0
0.195,1.136,7.802,5.003,3.534,0
9.633,5.737,1.151,6.874,5.849,0
4.645,8.885,0.823,3.075,4.357,0
6.142,8.636,8.903,5.982,7.416,1
6.584,4.125,9.237,3.227,5.793,0
7.356,6.354,9.446,3.319,6.619,1
1.388,7.049,1.300,3.750,3.372,0
3.230,3.511,3.556,0.122,2.605,0
2.877,1.115,4.346,8.557,4.224,0
1.288,5.736,6.408,0.960,3.598,0
9.595,4.857,0.963,4.729,5.036,0
2.117,2.512,9.807,2.938,4.344,0
2.256,5.034,2.422,1.180,2.723,0
9.015,1.370,9.584,7.054,6.756,1
7.676,7.275,7.735,4.255,6.735,1
6.359,7.253,1.671,1.069,4.088,0
1.624,0.009,4.386,5.802,2.955,0
4.634,1.456,4.471,8.854,4.854,0
7.193,8.720,7.366,2.827,6.526,1
5.163,0.911,4.588,5.668,4.083,0
5.833,9.822,1.704,5.071,5.608,0
9.038,0.946,1.077,3.538,3.650,0
3.813,8.123,4.631,4.125,5.173,0
2.749,6.617,9.241,1.409,5.004,0
8.540,5.578,0.968,4.583,4.917,0
4.063,1.514,1.408,5.256,3.060,0
3.055,6.644,8.522,9.441,6.916,1
2.947,8.958,7.124,1.242,5.068,0
6.648,6.558,1.374,7.583,5.541,0
2.797,3.768,4.860,9.614,5.260,0
5.109,2.157,1.348,9.183,4.449,0
2.014,8.456,0.295,8.849,4.904,0
1.964,7.848,7.038,7.367,6.054,1
0.339,8.021,5.197,4.597,4.539,0
6.385,8.471,4.451,1.591,5.225,0
9.044,8.945,8.790,4.818,7.899,1
2.192,2.812,6.673,2.749,3.606,0
4.373,5.904,5.987,6.736,5.750,0
2.934,0.293,2.810,5.144,2.795,0
1.927,9.629,7.664,9.178,7.099,1
2.017,3.584,7.681,2.493,3.944,0
8.175,9.113,8.712,4.638,7.660,1
0.600,3.849,2.305,6.755,3.377,0
7.855,3.375,7.576,3.969,5.694,0
3.596,9.529,6.606,5.318,6.262,1
4.263,3.054,4.441,1.877,3.409,0
1.753,9.940,5.573,4.174,5.360,0
8.028,6.397,7.124,8.138,7.422,1
6.276,2.066,3.957,8.916,5.304,0
8.477,8.038,9.581,0.754,6.712,1
6.770,9.918,3.282,8.128,7.025,1
4.316,0.514,8.444,5.010,4.571,0
4.974,4.897,3.212,2.771,3.963,0
8.924,5.889,8.015,4.281,6.777,1
4.543,3.483,9.009,9.986,6.755,1
6.977,5.254,6.014,0.708,4.738,0
4.867,6.265,6.451,4.937,5.630,0
5.548,2.680,1.147,5.418,3.698,0
3.967,8.627,7.295,6.783,6.668,1
3.009,3.195,5.382,4.682,4.067,0
1.906,6.171,8.807,7.613,6.124,1
6.251,0.050,2.618,6.905,3.956,0
2.101,5.051,7.656,4.934,4.935,0
6.351,8.798,2.351,9.307,6.702,1
8.696,6.252,3.967,5.778,6.173,1
6.926,7.070,4.640,1.323,4.990,0
2.837,9.814,1.045,2.954,4.162,0
7.502,3.208,2.494,4.316,4.380,0
1.668,0.113,3.702,9.905,3.847,0
0.900,7.259,9.854,9.133,6.787,1
6.219,9.212,6.201,4.027,6.415,1
4.705,5.422,6.407,9.800,6.583,1
1.045,8.063,2.689,8.530,5.082,0
4.378,6.758,9.412,4.131,6.170,1
3.016,0.901,3.433,4.613,2.991,0
8.706,1.699,1.993,7.157,4.889,0
2.855,6.542,9.444,1.075,4.979,0
9.336,4.815,3.288,8.812,6.563,1
3.423,2.210,7.376,1.165,3.543,0
7.928,6.372,7.326,8.338,7.491,1
1.086,4.867,9.828,7.807,5.897,0
9.245,1.375,9.804,2.166,5.647,0
3.961,6.466,3.016,7.442,5.221,0
5.888,9.120,9.996,2.118,6.781,1
2.651,7.329,7.349,8.862,6.548,1
9.825,3.540,4.704,6.871,6.235,1
9.317,1.915,4.197,1.166,4.149,0
4.329,5.845,4.874,4.115,4.791,0
8.051,9.489,8.531,7.044,8.279,1
5.945,9.690,9.918,0.477,6.508,1
6.138,1.871,3.986,8.958,5.238,0
8.897,1.338,5.978,0.755,4.242,0
0.784,7.396,8.818,0.762,4.440,0
7.744,2.851,9.615,1.605,5.454,0
5.448,6.326,4.506,4.677,5.239,0
4.809,1.176,8.921,7.765,5.668,0
5.572,1.935,6.317,5.882,4.927,0
5.452,0.153,3.705,6.550,3.965,0
9.080,6.845,5.824,9.147,7.724,1
1.164,4.729,9.577,7.122,5.648,0
5.442,9.187,0.467,8.573,5.917,0
5.602,9.193,8.851,3.441,6.772,1
9.374,7.703,4.088,3.366,6.133,1
6.070,4.027,5.768,5.782,5.412,0
6.591,0.843,2.813,2.284,3.133,0
9.883,0.263,5.408,1.686,4.310,0
7.198,3.526,4.772,3.908,4.851,0
1.097,9.663,4.663,2.977,4.600,0
1.653,5.163,4.195,8.702,4.928,0
7.841,3.752,5.981,7.362,6.234,1
5.572,2.199,1.373,9.944,4.772,0
3.472,6.641,2.595,9.300,5.502,0
4.077,9.285,5.464,3.267,5.523,0
0.751,6.642,5.828,4.635,4.464,0
2.487,7.283,2.198,0.112,3.020,0
9.941,1.431,0.470,0.125,2.992,0
3.762,4.118,9.520,5.062,5.615,0
4.982,3.371,1.813,6.003,4.042,0
6.288,9.787,4.702,1.196,5.493,0
2.357,6.997,9.272,7.379,6.502,1
9.627,7.401,2.818,5.397,6.311,1
7.879,3.384,8.599,4.826,6.172,1
1.379,8.061,6.714,1.348,4.375,0
8.580,1.835,7.334,2.023,4.943,0
9.999,2.274,0.682,2.642,3.899,0
1.855,7.172,2.463,6.157,4.412,0
2.923,0.876,0.529,6.462,2.698,0
8.085,9.793,3.804,2.208,5.972,0
9.449,8.790,4.875,5.551,7.166,1
4.035,1.660,7.944,4.567,4.551,0
3.484,2.010,9.718,2.674,4.471,0
3.942,3.911,0.138,9.889,4.470,0
3.985,1.968,6.601,0.486,3.260,0
8.227,6.954,5.052,7.583,6.954,1
1.189,7.213,6.664,8.614,5.920,0
4.580,2.077,6.227,0.026,3.228,0
3.068,4.322,0.342,9.033,4.191,0
4.441,3.279,5.857,1.526,3.776,0
7.973,7.378,1.773,6.769,5.973,0
1.691,6.191,0.191,7.039,3.778,0
9.125,1.051,4.231,6.785,5.298,0
6.239,2.643,5.926,4.967,4.944,0
5.700,1.985,9.934,0.111,4.432,0
9.326,9.771,2.591,9.042,7.683,1
1.390,3.698,3.665,2.240,2.748,0
3.682,1.016,0.276,6.914,2.972,0
0.857,2.235,2.030,5.946,2.767,0
9.782,9.532,4.527,7.213,7.764,1
1.870,7.618,6.496,8.650,6.159,1
8.209,3.702,2.639,7.333,5.471,0
2.495,6.965,2.051,2.287,3.450,0
1.734,5.846,3.711,5.091,4.095,0
1.722,5.619,3.546,3.286,3.543,0
7.900,9.102,5.166,5.467,6.909,1
2.837,2.367,7.065,5.095,4.341,0
5.239,1.549,5.325,4.790,4.226,0
0.817,9.138,2.566,8.539,5.265,0
6.538,7.664,9.104,3.995,6.825,1
7.421,3.790,3.872,6.980,5.516,0
0.091,3.264,8.856,5.796,4.502,0
2.783,4.592,4.218,0.632,3.056,0
1.157,1.994,0.387,9.139,3.169,0
5.744,7.229,2.461,1.535,4.242,0
3.025,5.075,0.919,2.921,2.985,0
6.179,8.360,2.559,9.489,6.647,1
4.728,7.133,5.353,4.646,5.465,0
6.661,2.208,1.518,2.570,3.239,0
5.017,5.642,5.964,3.407,5.007,0
6.302,5.618,7.843,0.296,5.015,0
0.508,5.602,3.944,6.226,4.070,0
9.558,8.817,8.827,9.514,9.179,1
0.153,2.529,7.369,9.136,4.797,0
7.258,8.508,0.891,0.632,4.322,0
7.255,4.925,2.846,2.511,4.384,0
0.987,5.350,5.156,1.924,3.354,0
5.190,9.798,4.564,1.172,5.181,0
6.767,9.593,9.076,0.141,6.394,1
1.615,1.524,8.492,6.310,4.485,0
2.931,9.544,1.394,6.742,5.153,0
1.364,2.285,3.047,5.446,3.036,0
6.223,6.474,7.519,6.082,6.574,1
5.838,2.654,3.915,2.834,3.810,0
8.906,0.366,7.822,8.420,6.379,1
5.565,1.602,7.099,7.771,5.509,0
1.194,9.802,6.311,0.576,4.471,0
3.524,7.896,8.461,8.142,7.006,1
2.605,9.132,0.780,4.600,4.279,0
1.062,3.884,3.338,4.894,3.295,0
9.616,9.222,3.684,2.189,6.178,1
4.131,5.749,9.706,3.710,5.824,0
6.323,4.169,1.219,8.936,5.162,0
5.321,1.894,4.866,3.947,4.007,0
8.845,4.417,5.198,3.563,5.506,0
9.682,3.572,9.238,9.067,7.890,1
9.364,3.581,4.122,5.379,5.612,0
8.224,0.629,6.114,1.643,4.153,0
9.636,6.282,0.386,6.429,5.683,0
0.512,9.313,1.226,9.626,5.169,0
5.704,3.970,9.768,3.882,5.831,0
5.138,5.735,6.955,4.871,5.675,0
2.819,2.267,6.978,8.102,5.041,0
0.823,4.915,7.890,2.370,4.000,0
8.024,0.574,3.697,1.836,3.533,0
9.420,2.754,5.909,0.305,4.597,0
9.317,0.575,5.973,6.781,5.662,0
5.335,3.156,4.522,5.900,4.728,0
6.536,6.003,9.171,7.021,7.183,1
6.231,7.889,7.796,4.786,6.676,1
5.377,8.169,0.276,8.553,5.594,0
1.865,9.711,0.907,5.322,4.451,0
5.328,5.177,8.422,1.902,5.207,0
2.109,6.398,8.605,3.147,5.064,0
8.971,9.877,2.488,3.635,6.243,1
1.072,3.318,4.374,0.029,2.199,0
0.356,8.811,7.435,5.633,5.559,0
7.853,4.041,8.449,5.189,6.383,1
2.098,3.456,5.123,1.896,3.143,0
1.268,3.945,6.640,0.792,3.161,0
5.090,5.096,7.970,0.445,4.650,0
2.178,7.171,8.270,0.765,4.596,0
7.580,6.739,4.869,8.843,7.008,1
4.851,0.688,4.135,8.236,4.478,0
1.984,2.429,5.853,3.306,3.393,0
3.839,1.185,1.800,1.203,2.007,0
9.623,5.314,3.698,7.475,6.527,1
4.214,3.433,4.214,7.914,4.944,0
6.807,2.575,2.572,3.349,3.826,0
6.349,0.598,7.897,4.525,4.842,0
0.467,8.939,9.452,9.222,7.020,1
3.989,8.345,7.128,4.274,5.934,0
1.408,5.865,7.168,6.474,5.229,0
3.296,6.224,8.846,0.281,4.662,0
7.512,7.528,6.125,4.853,6.504,1
9.265,8.283,3.883,8.956,7.597,1
0.977,1.754,9.953,2.961,3.911,0
8.897,4.260,7.678,3.617,6.113,1
3.711,5.347,8.548,9.745,6.838,1
3.651,6.361,5.321,7.761,5.774,0
0.485,2.461,9.915,4.210,4.268,0
7.524,9.165,5.689,3.778,6.539,1
4.832,3.152,8.941,4.859,5.446,0
6.365,3.419,0.547,0.169,2.625,0
4.584,6.516,4.981,7.360,5.860,0
1.475,2.245,1.233,1.760,1.678,0
4.564,7.464,4.219,4.591,5.209,0
3.165,4.343,0.379,1.894,2.445,0
4.497,6.241,4.080,6.631,5.363,0
5.167,2.629,7.569,6.137,5.376,0
0.297,0.629,4.774,3.917,2.404,0
8.414,1.785,9.385,2.519,5.526,0
6.687,4.199,6.793,7.974,6.413,1
6.464,1.028,6.693,8.699,5.721,0
6.297,5.971,9.080,2.261,5.902,0
2.788,1.368,3.125,2.880,2.540,0
8.147,7.827,2.526,8.049,6.637,1
4.121,2.198,0.715,9.405,4.110,0
2.800,8.979,9.230,6.927,6.984,1
7.644,3.366,4.880,5.099,5.247,0
9.524,1.735,3.315,7.187,5.441,0
0.261,1.145,6.743,2.631,2.695,0
2.634,2.250,0.487,2.571,1.985,0
5.282,0.591,9.233,0.729,3.959,0
5.144,8.833,2.618,0.127,4.181,0
5.475,7.501,7.349,2.594,5.730,0
3.145,8.206,4.866,9.262,6.370,1
8.374,3.248,3.494,3.962,4.770,0
4.361,0.519,2.907,9.032,4.205,0
3.450,3.765,4.637,4.715,4.142,0
9.060,8.782,6.429,8.072,8.086,1
